"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Handlebars", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\create-interest-user.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 3, 10
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\create-language-nacionality.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\create-language-user.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 3, 10
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\select-nacionality-language.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\select-nacionality-mattern-language-user.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\select-nacionality-user.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\update-language-nacionality.dto.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\dto\update-language-user.dto.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\entities\inappropriate_content_user.entity.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 8, 31
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\entities\interest_user.entity.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 3, 8, 34
